Image_ID,Pothole,Number of Potholes,Level,Unnamed: 4,FullImagePath
pothole_image_10287,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10287.jpg
pothole_image_10288,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10288.jpg
pothole_image_10290,1,3,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10290.jpg
pothole_image_10291,1,3,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10291.jpg
pothole_image_10292,1,3,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10292.jpg
pothole_image_10293,1,3,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10293.jpg
pothole_image_10295,1,4,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10295.jpg
pothole_image_10296,1,3,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10296.jpg
pothole_image_10297,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10297.jpg
pothole_image_10298,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10298.jpg
pothole_image_10299,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10299.jpg
pothole_image_10301,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10301.jpg
pothole_image_10302,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10302.jpg
pothole_image_10303,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10303.jpg
pothole_image_10304,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10304.jpg
pothole_image_10305,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10305.jpg
pothole_image_10307,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10307.jpg
pothole_image_10308,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10308.jpg
pothole_image_10309,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10309.jpg
pothole_image_10310,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10310.jpg
pothole_image_10313,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10313.jpg
pothole_image_10314,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10314.jpg
pothole_image_10315,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10315.jpg
pothole_image_10316,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10316.jpg
pothole_image_10317,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10317.jpg
pothole_image_10318,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10318.jpg
pothole_image_10320,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10320.jpg
pothole_image_10321,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10321.jpg
pothole_image_10322,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10322.jpg
pothole_image_10324,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10324.jpg
pothole_image_10326,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10326.jpg
pothole_image_10328,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10328.jpg
pothole_image_10341,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10341.jpg
pothole_image_10350,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10350.jpg
pothole_image_10364,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10364.jpg
pothole_image_10376,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10376.jpg
pothole_image_10388,1,2,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10388.jpg
pothole_image_10394,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10394.jpg
pothole_image_10400,1,2,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10400.jpg
pothole_image_10413,1,2,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10413.jpg
pothole_image_10423,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10423.jpg
pothole_image_10425,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10425.jpg
pothole_image_10432,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10432.jpg
pothole_image_10443,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10443.jpg
pothole_image_10444,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10444.jpg
pothole_image_10446,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10446.jpg
pothole_image_10452,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10452.jpg
pothole_image_10453,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10453.jpg
pothole_image_10460,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10460.jpg
pothole_image_10473,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10473.jpg
pothole_image_10477,1,2,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10477.jpg
pothole_image_10486,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10486.jpg
pothole_image_10499,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10499.jpg
pothole_image_10512,1,2,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10512.jpg
pothole_image_10515,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10515.jpg
pothole_image_10520,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10520.jpg
pothole_image_10523,1,3,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10523.jpg
pothole_image_10527,1,2,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10527.jpg
pothole_image_10532,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10532.jpg
pothole_image_10534,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10534.jpg
pothole_image_10540,1,2,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10540.jpg
pothole_image_10544,1,2,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10544.jpg
pothole_image_10545,1,2,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10545.jpg
pothole_image_10548,1,2,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10548.jpg
pothole_image_10552,1,2,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10552.jpg
pothole_image_10553,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10553.jpg
pothole_image_10567,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10567.jpg
pothole_image_10580,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10580.jpg
pothole_image_10587,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10587.jpg
pothole_image_1070,1,2,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1070.jpg
pothole_image_1071,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1071.jpg
pothole_image_1073,1,2,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1073.jpg
pothole_image_1074,1,3,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1074.jpg
pothole_image_10827,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10827.jpg
pothole_image_10832,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10832.jpg
pothole_image_10833,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10833.jpg
pothole_image_10836,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10836.jpg
pothole_image_10851,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10851.jpg
pothole_image_10854,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10854.jpg
pothole_image_10857,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_10857.jpg
pothole_image_1123,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1123.jpg
pothole_image_1126,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1126.jpg
pothole_image_1130,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1130.jpg
pothole_image_1141,1,2,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1141.jpg
pothole_image_11544,1,2,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_11544.jpg
pothole_image_1157,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1157.jpg
pothole_image_1160,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1160.jpg
pothole_image_1162,1,4,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1162.jpg
pothole_image_1164,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1164.jpg
pothole_image_1168,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1168.jpg
pothole_image_1171,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1171.jpg
pothole_image_1178,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1178.jpg
pothole_image_1180,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1180.jpg
pothole_image_1181,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1181.jpg
pothole_image_1182,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1182.jpg
pothole_image_1188,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1188.jpg
pothole_image_1189,1,3,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1189.jpg
pothole_image_1190,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1190.jpg
pothole_image_1195,1,2,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1195.jpg
pothole_image_1196,1,4,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1196.jpg
pothole_image_1198,1,2,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1198.jpg
pothole_image_1202,1,2,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1202.jpg
pothole_image_1219,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1219.jpg
pothole_image_1224,1,2,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1224.jpg
pothole_image_1228,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1228.jpg
pothole_image_1229,1,2,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1229.jpg
pothole_image_1230,1,2,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1230.jpg
pothole_image_1231,1,2,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1231.jpg
pothole_image_1232,1,2,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1232.jpg
pothole_image_1236,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1236.jpg
pothole_image_1250,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1250.jpg
pothole_image_1253,1,2,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1253.jpg
pothole_image_1256,1,2,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1256.jpg
pothole_image_1263,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1263.jpg
pothole_image_1264,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1264.jpg
pothole_image_1265,1,2,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1265.jpg
pothole_image_1266,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1266.jpg
pothole_image_1273,1,2,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1273.jpg
pothole_image_12730,1,2,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_12730.jpg
pothole_image_1277,1,2,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1277.jpg
pothole_image_1280,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1280.jpg
pothole_image_1281,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1281.jpg
pothole_image_12814,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_12814.jpg
pothole_image_12836,1,2,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_12836.jpg
pothole_image_12865,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_12865.jpg
pothole_image_1289,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1289.jpg
pothole_image_1290,1,2,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1290.jpg
pothole_image_1291,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1291.jpg
pothole_image_12919,1,2,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_12919.jpg
pothole_image_1294,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1294.jpg
pothole_image_1296,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1296.jpg
pothole_image_12961,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_12961.jpg
pothole_image_12966,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_12966.jpg
pothole_image_13020,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_13020.jpg
pothole_image_1303,1,2,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1303.jpg
pothole_image_13030,1,2,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_13030.jpg
pothole_image_1305,1,5,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1305.jpg
pothole_image_13065,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_13065.jpg
pothole_image_13092,1,2,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_13092.jpg
pothole_image_1310,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1310.jpg
pothole_image_13107,1,2,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_13107.jpg
pothole_image_13118,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_13118.jpg
pothole_image_13125,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_13125.jpg
pothole_image_1313,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1313.jpg
pothole_image_13154,1,3,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_13154.jpg
pothole_image_13160,1,3,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_13160.jpg
pothole_image_13162,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_13162.jpg
pothole_image_13169,1,3,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_13169.jpg
pothole_image_1317,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1317.jpg
pothole_image_13173,1,2,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_13173.jpg
pothole_image_1320,1,2,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1320.jpg
pothole_image_13203,1,2,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_13203.jpg
pothole_image_1321,1,2,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1321.jpg
pothole_image_13213,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_13213.jpg
pothole_image_1322,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1322.jpg
pothole_image_13231,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_13231.jpg
pothole_image_1325,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1325.jpg
pothole_image_13258,1,2,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_13258.jpg
pothole_image_13284,1,2,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_13284.jpg
pothole_image_1329,1,2,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1329.jpg
pothole_image_1330,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1330.jpg
pothole_image_13312,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_13312.jpg
pothole_image_1333,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1333.jpg
pothole_image_13339,1,2,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_13339.jpg
pothole_image_1334,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1334.jpg
pothole_image_13340,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_13340.jpg
pothole_image_13341,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_13341.jpg
pothole_image_13347,1,3,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_13347.jpg
pothole_image_1336,1,2,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1336.jpg
pothole_image_13371,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_13371.jpg
pothole_image_13383,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_13383.jpg
pothole_image_13388,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_13388.jpg
pothole_image_1340,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1340.jpg
pothole_image_13411,1,2,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_13411.jpg
pothole_image_13424,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_13424.jpg
pothole_image_1343,1,2,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1343.jpg
pothole_image_13452,1,2,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_13452.jpg
pothole_image_13496,1,2,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_13496.jpg
pothole_image_13502,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_13502.jpg
pothole_image_13511,1,2,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_13511.jpg
pothole_image_1353,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1353.jpg
pothole_image_13539,1,2,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_13539.jpg
pothole_image_13553,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_13553.jpg
pothole_image_13554,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_13554.jpg
pothole_image_13564,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_13564.jpg
pothole_image_13566,1,1,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_13566.jpg
pothole_image_1357,1,2,A,,C:/Users/patel/PythonProjects/potholes/Unified Dataset/Unified Dataset\pothole_image_1357.jpg
